||Sütunlar|
Satırlar||İbbs-Düzey1, İbbs-Düzey2,  İl Ve İlçe Nüfusları|
||Ölçüm bazında|
|||
|||
|İzmir(Bornova)-1203|418837.0|
|İzmir(Buca)-1780|436989.0|
|İzmir(Çeşme)-1251|33931.0|
|İzmir(Çiğli)-2007|163774.0|
|İzmir(Dikili)-1280|34358.0|
|İzmir(Foça)-1334|32476.0|
|İzmir(Gaziemir)-2009|126737.0|
|İzmir(Güzelbahçe)-2018|25335.0|
|İzmir(Karabağlar)-2057|463279.0|
|İzmir(Karaburun)-1432|8848.0|
|İzmir(Karşıyaka)-1448|312213.0|
|İzmir(Kemalpaşa)-1461|93431.0|
|İzmir(Kınık)-1467|28104.0|
|İzmir(Kiraz)-1477|44587.0|
|İzmir(Konak)-1819|397201.0|
|İzmir(Menderes)-1826|73191.0|
|İzmir(Menemen)-1521|134889.0|
|İzmir(Narlıdere)-2013|65478.0|
|İzmir(Ödemiş)-1563|129968.0|
|İzmir(Seferihisar)-1611|30890.0|
|İzmir(Selçuk)-1612|34643.0|
|İzmir(Tire)-1677|78975.0|
|İzmir(Torbalı)-1682|133089.0|
|İzmir(Urla)-1703|53417.0|
2012|İzmir(Aliağa)-1128|76598.0|
|İzmir(Balçova)-2006|77843.0|
|İzmir(Bayındır)-1178|40988.0|
|İzmir(Bayraklı)-2056|309137.0|
|İzmir(Bergama)-1181|101004.0|
|İzmir(Beydağ)-1776|12566.0|
|İzmir(Bornova)-1203|423063.0|
|İzmir(Buca)-1780|446491.0|
|İzmir(Çeşme)-1251|34563.0|
|İzmir(Çiğli)-2007|168599.0|
|İzmir(Dikili)-1280|35230.0|
|İzmir(Foça)-1334|32141.0|
|İzmir(Gaziemir)-2009|127730.0|
|İzmir(Güzelbahçe)-2018|28469.0|
|İzmir(Karabağlar)-2057|466023.0|
|İzmir(Karaburun)-1432|8799.0|
|İzmir(Karşıyaka)-1448|315294.0|
|İzmir(Kemalpaşa)-1461|94831.0|
|İzmir(Kınık)-1467|27950.0|
|İzmir(Kiraz)-1477|44009.0|
|İzmir(Konak)-1819|390682.0|
|İzmir(Menderes)-1826|74831.0|
|İzmir(Menemen)-1521|138143.0|
